timestamp;FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3
2 days 01:52:30;10.527755618292556;1.8866471913850662;-25.665907956801135;-38.12629839053017;31.87965438057754
2 days 01:52:31;4.822769107716142;25.546697303967317;-11.644367316667983;-44.83921685527224;17.10188955156337
2 days 01:52:32;3.717982073501067;44.10102736506552;-1.8135163269934274;-38.23104705487331;2.765467557117206
2 days 01:52:33;13.102236413787898;46.69809419730136;-4.405845525728772;-36.14717538164581;4.178822413453678
2 days 01:52:34;17.57652724184789;39.799370904652285;-4.031067536042374;-31.564770204755177;-0.229052737788513
2 days 01:52:35;17.54164482008085;26.935171882182036;-6.975582812500421;-32.57643822651601;-1.268771402873957
2 days 01:52:36;18.14793701741722;9.602431939867516;-21.59964629908597;-27.31802932781694;6.563115138389842
2 days 01:52:37;5.61998385299534;2.4193482701290527;-30.079140635284688;-34.7312131145823;6.264444298415615
2 days 01:52:38;-7.330167876979515;-8.329743358464633;-25.483686033277625;-31.75833858525253;4.2809171982146355
2 days 01:52:39;-22.486875564522666;-11.720243792787116;-22.02946194326984;-23.453998833739835;-8.881408219518832
2 days 01:52:40;-29.44223585763796;-6.395791837033446;-11.800680329802383;-14.60623070396956;-35.374483843182546
2 days 01:52:41;-21.33047766604681;2.4478893339682566;-1.076626887523976;-8.11826467952938;-39.87480573795352
2 days 01:52:42;-6.592060067625493;0.7444861667261636;2.5384070863729127;9.512427836599446;-25.49354221271996
2 days 01:52:43;2.8259101961227753;-9.860063358885242;2.453157199701584;20.88534665875778;-2.9175437032007587
2 days 01:52:44;7.1260291908823055;-21.43819680490108;-1.5045103937573132;15.952775224780636;20.38491650258821
2 days 01:52:45;15.961930068700951;-25.68913694329549;-9.620972154244898;8.381146398361405;43.03127122593481
2 days 01:52:46;13.467958524499362;-27.213207770215647;-13.414158237574458;0.5305809061189162;53.1777638249238
2 days 01:52:47;-3.162347991668102;-22.478664611524305;-11.638714066073788;-23.80152487946549;61.08923406310867
2 days 01:52:48;-9.885220345971913;-13.070014873085194;-12.625048284457437;-43.21857902529599;64.82023110479945
2 days 01:52:49;-10.838567639388382;-3.7091799880116225;-6.190437991106346;-54.54614562267466;48.83648470709945
2 days 01:52:50;-4.199682070332943;5.002097518543238;-1.0920508550421246;-48.78937566572093;30.07320600239317
2 days 01:52:51;2.795481314358066;9.560682917541012;10.132141452158091;-42.30736088464875;19.039963588831746
2 days 01:52:52;12.616244148453747;7.570719802823354;13.157384947527435;-28.97966236315837;18.196794527449725
2 days 01:52:53;16.669989329531063;7.171172716971615;14.843863917380316;-16.11750230759149;14.360418292225846
2 days 01:52:54;31.136318720158123;0.8922150103257134;11.259974866406367;-8.76451076483386;25.479979074555725
2 days 01:52:55;30.25774581120416;-8.891139049995319;0.9101866183084535;-7.536066611044578;30.763512859692618
2 days 01:52:56;24.650971136965584;-12.483857058432895;-3.9204247374901873;-18.819404472359096;32.43775063825932
